property;value
standardversion;http://opendata.gosmonitor.ru/standard/3.0
identifier;ANO CPUR/АНО ЦПУР
title;Загрязнение атмосферы в России: объем выбросов в воздух в разрезе муниципальных образований за 2019-2020 гг.
description;Набор содержит объединенные за 2019-2020 гг. сведения о выбросах загрязняющих веществ в атмосферу по всем муниципальным образованиям Российской Федерации. Эти данные представлены в открытом доступе на портале Росприроднадзора (результаты сбора с предприятий отчетов по форме гос.стат. наблюдения № 2-ТП (воздух)), но в рамках этого датасета были приведены к более удобному для машинной обработки формату. 
creator;Федеральная служба по надзору в сфере природопользования
created;20210526
modified;
subject;
format;csv
provenance;
valid;
publishername;Гостева Инесса Игоревна
publisherphone;
publishermbox;i.gosteva@cpur.ru
data;
structure;
