Свойство,Значение
Идентификационный номер,7830002430-Funkcionalnaya-struktura-rashodov
Полное наименование,Функциональная структура расходов
Краткое наименование,Функциональная структура расходов
Описание,Функциональная структура расходов бюджета Санкт-Петербурга по редакциям бюджета
Дополнительное описание,Предыдущие версии набора http://data.gov.spb.ru/archive/%D0%9A%D0%BE%D0%BC%D0%B8%D1%82%D0%B5%D1%82%20%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B0/36/
Поставщик данных,Комитет финансов Санкт-Петербурга
Сфера (направление),Финансы
Периодичность актуализации,Ежеквартально
Срок обновления набора данных,2023-02-28
Ключевые слова (теги),"Финансы,Бюджет,Расход"
Вид набора,Набор данных
Информационная система - источник данных,АИС ИИС КФ
Ссылка на данные на сайте поставщика,
ФИО ответственного № 1,Бейнусов Андрей Валериевич
Телефон ответственного № 1,78122461305
Email ответственного № 1,andre@kfin.gov.spb.ru
